Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,0,1.0,1,1,0,4.0,160.0,10,3,367.0,7,0,0
CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,0,0.0,0,0,1,1.0,180.0,17,3,404.0,0,0,1
CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,0,0.0,1,0,1,1.0,220.0,18,3,488.0,0,0,1
SOFT BED WOOL COTTON - SMALL,PET BEDS,B22,1,2.0,3,0,0,0.0,290.0,18,3,634.0,0,0,1
SOFT BED WOOL COTTON - MEDIUM,PET BEDS,B23,0,2.0,3,3,3,1.0,380.0,18,4,828.0,0,0,1
HANGING TENT HAMMOCK - SMALL,PET BEDS,B24,0,0.0,1,0,0,2.0,196.0,18,3,440.0,0,0,1
DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,0,0.0,0,2,1,2.0,580.0,18,3,1214.0,2,0,0
NET FENCE S/M/L,PET BEDS,B26,0,0.0,0,0,0,0.0,250.0,18,3,542.0,0,0,1
CAT HAMMOCK BOWL TYPE FLEECE COTTON - LARGE 45X45CM,PET BEDS,B27,0,0.0,0,0,0,0.0,320.0,18,3,682.0,0,0,1
MAT BED -LARGE,PET BEDS,B28,0,0.0,0,0,1,2.0,280.0,18,3,608.0,0,0,1
MAT BED - MEDIUM,PET BEDS,B29,0,1.0,0,0,0,1.0,230.0,18,3,506.0,0,0,1
PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,0,1.0,0,0,0,1.0,290.0,15,3,620.0,0,0,1
CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,0,0.0,1,1,5,0.0,580.0,15,3,1210.0,0,0,1
PET BED PVC ICE GEL OVAL - ICE PAD 70X50CM,PET BEDS,B32,0,0.0,0,0,1,0.0,480.0,15,3,998.0,0,0,1
SOFT FLAT MAT BED - WASHABLE SFM,PET BEDS,B34,0,0.0,0,0,1,0.0,220.0,13,3,474.0,0,0,1
PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,0,0.0,0,0,0,1.0,220.0,14,3,476.0,0,0,1
PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,1,1.0,1,0,0,5.0,220.0,14,3,490.0,0,0,1
HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,0,0.0,0,1,1,11.0,180.0,14,3,420.0,0,0,1
PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0.0,0,0,0,0.0,325.0,14,3,684.0,0,0,1
PET CLOTHES PINK DRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0.0,0,0,0,0.0,350.0,14,3,734.0,0,0,1
