Year,Month,Name,ProductGroup,SKU,Quantity,QuantitySold,Price,LeadTime,Threshold,PredictedThreshold
2025,Jul,PET CLOTHES PINK DRESS  SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0,320,7,3,5.496634
2025,Aug,PET CLOTHES PINK DRESS  SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0,320,7,3,5.496634
2025,Sep,PET CLOTHES PINK DRESS  SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0,320,7,3,5.496634
2025,May,PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0,320,7,3,5.496634
2025,Jun,PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0,320,7,3,5.496634
2025,Jul,PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0,320,7,3,5.496634
2025,Aug,PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0,320,7,3,5.496634
2025,Sep,PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0,320,7,3,5.496634
2025,May,POLICE SANDO  M,CLOTHES AND FASHION ACCESSORIES,C08,-1,0,95,7,3,5.271818
2025,Jun,POLICE SANDO  M,CLOTHES AND FASHION ACCESSORIES,C08,-1,1,95,7,3,5.271818
2025,Jul,POLICE SANDO  M,CLOTHES AND FASHION ACCESSORIES,C08,-1,0,95,7,3,5.271818
2025,Aug,POLICE SANDO  M,CLOTHES AND FASHION ACCESSORIES,C08,-1,0,95,7,3,5.271818
2025,Sep,POLICE SANDO  M,CLOTHES AND FASHION ACCESSORIES,C08,-1,0,95,7,3,5.271818
2025,May,POLICE SANDO  L,CLOTHES AND FASHION ACCESSORIES,C09,0,0,100,7,3,5.3259625
2025,Jun,POLICE SANDO  L,CLOTHES AND FASHION ACCESSORIES,C09,0,0,100,7,3,5.3259625
2025,Jul,POLICE SANDO  L,CLOTHES AND FASHION ACCESSORIES,C09,0,0,100,7,3,5.3259625
2025,Aug,POLICE SANDO  L,CLOTHES AND FASHION ACCESSORIES,C09,0,0,100,7,3,5.3259625
2025,Sep,POLICE SANDO  L,CLOTHES AND FASHION ACCESSORIES,C09,0,0,100,7,3,5.3259625
2025,May,POLICE SANDO  XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0,120,7,3,5.296693
2025,Jun,POLICE SANDO  XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0,120,7,3,5.296693
2025,Jul,POLICE SANDO  XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0,120,7,3,5.296693
2025,Aug,POLICE SANDO  XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0,120,7,3,5.296693
2025,Sep,POLICE SANDO  XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0,120,7,3,5.296693
2025,May,PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,1,0,290,8,3,6.012982
2025,Jun,PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,1,0,290,8,3,6.012982
2025,Jul,PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,1,0,290,8,3,6.012982
2025,Aug,PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,1,0,290,8,3,6.012982
2025,Sep,PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,1,0,290,8,3,6.012982
2025,May,PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,1,0,320,8,3,6.1007376
2025,Jun,PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,1,0,320,8,3,6.1007376
2025,Jul,PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,1,0,320,8,3,6.1007376
2025,Aug,PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,1,0,320,8,3,6.1007376
2025,Sep,PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,1,0,320,8,3,6.1007376
2025,May,PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,3,1,220,8,3,5.728749
2025,Jun,PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,3,0,220,8,3,5.728749
2025,Jul,PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,3,0,220,8,3,5.728749
2025,Aug,PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,3,0,220,8,3,5.728749
2025,Sep,PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,3,0,220,8,3,5.728749
2025,May,PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,6,3,140,8,3,5.619662
2025,Jun,PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,6,1,140,8,3,5.619662
2025,Jul,PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,6,2,140,8,3,5.619662
2025,Aug,PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,6,1,140,8,3,5.619662
2025,Sep,PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,6,0,140,8,3,5.619662
2025,May,PET CLOTHES CROSS BODY BEAR / PANDA  LARGE,CLOTHES AND FASHION ACCESSORIES,C15,1,0,220,8,3,5.728749
2025,Jun,PET CLOTHES CROSS BODY BEAR / PANDA  LARGE,CLOTHES AND FASHION ACCESSORIES,C15,1,0,220,8,3,5.728749
2025,Jul,PET CLOTHES CROSS BODY BEAR / PANDA  LARGE,CLOTHES AND FASHION ACCESSORIES,C15,1,1,220,8,3,5.728749
2025,Aug,PET CLOTHES CROSS BODY BEAR / PANDA  LARGE,CLOTHES AND FASHION ACCESSORIES,C15,1,0,220,8,3,5.728749
2025,Sep,PET CLOTHES CROSS BODY BEAR / PANDA  LARGE,CLOTHES AND FASHION ACCESSORIES,C15,1,0,220,8,3,5.728749
2025,May,PET CLOTHES CROSS BODY BEAR / PANDA  MEDIUM,CLOTHES AND FASHION ACCESSORIES,C16,2,0,190,8,3,5.6905518
2025,Jun,PET CLOTHES CROSS BODY BEAR / PANDA  MEDIUM,CLOTHES AND FASHION ACCESSORIES,C16,2,0,190,8,3,5.6905518
2025,Jul,PET CLOTHES CROSS BODY BEAR / PANDA  MEDIUM,CLOTHES AND FASHION ACCESSORIES,C16,2,2,190,8,3,5.6905518
